citation,auteur,
"""Après vous"" : cette formule de politesse devrait être la plus belle définition de notre civilisation.",Emmanuel Lévinas,
"""Chacun sa vérité"" est une formule juste car chacun se définit par la vérité vivante qu'il dévoile.",Jean-Paul Sartre,
"""J'aurais bientôt quitté les plaisirs, disent-ils, si j'avais la foi."" - Et moi, je vous dis : ""Vous auriez bientôt la foi, si vous aviez quitté les plaisirs.",,
"""Le mot ""con"" mérite de considérer au préalable son caractère machiste : la sublime ouverture du sexe féminin est ravalée à un organe stupide. On ne dit pas : ""c'est une pinnerie""...",Edgar Morin,
"""Le vrai"" consiste simplement dans ce qui est avantageux pour notre pensée, de même que ""le juste"" consiste simplement dans ce qui est avantageux pour notre conduite.",William James,
"""N'ayez pas peur !"" De quoi faut-il ne pas avoir peur ? Avant tout de faire la vérité sur nous-mêmes.",Jean-Paul II,
"""Ne juge personne avant de te mettre à sa place."" Ce vieux proverbe rend tout jugement impossible, car nous ne jugeons quelqu'un que parce que justement nous ne pouvons nous mettre à sa place.",Emil Cioran,
"[...] aimer c'est ne plus être tout à fait soi; c'est de perdre; s'aliéner; éventuellement, même, s'asservir à un autre; c'est donc une aventure terrible; c'est l'une des pires choses qui puisse arriver à un homme, ou une femme; mais [...] ► Lire la suite",Bernard-Henri Lévy,
1. Ne jamais lire un livre qui date de moins d'un an. 2. Ne lire que des livres réputés. 3. Ne lire que des livres que vous aimez.,Ralph Waldo Emerson,
"À Auschwitz, dans les cendres, s'éteignirent les promesses de l'homme.",Elie Wiesel,
"A ce jour, une seule différence subsiste, mais essentielle : ce sont les femmes qui portent les enfants et jamais les hommes.",Elisabeth Badinter,
"A certains moments de notre vie, notre propre lumière s'éteint et se rallume par l'étincelle d'une autre personne. Chacun de nous à des raisons d'éprouver une profonde gratitude pour ceux qui ont rallumé la flamme en nous.",Albert Schweitzer,
"À chacun de nous, Dieu offre le choix entre la vérité et la tranquillité. Ce choix, faites-le ; jamais vous n'obtiendrez à la fois l'une et l'autre.",Ralph Waldo Emerson,
"A chacun sa mesure, car s'il est lourd de porter le malheur, plus lourd est le bonheur.",Friedrich Hölderlin,
"A chaque femme correspond un séducteur. Son bonheur, ce n'est que de le rencontrer.",Soren Kierkegaard,
"A droite, on dort A gauche, on rêve.",Gustave Thibon,
"À force de parler d'amour, on devient amoureux.",Blaise Pascal,
"A force de remettre à plus tard, la vie nous dépasse.",Sénèque,
"A force de sacrifier l'essentiel à l'urgence, on finit par oublier l'urgence de l'essentiel.",Edgar Morin,
"A force de vouloir rechercher les origines, on devient écrevisse. L'historien voit en arrière ; il finit par croire en arrière.",Friedrich Nietzsche,
À l'amour tout miracle est possible.,Voltaire,
"A l'égard de toutes les autres choses, il est possible de se procurer la sécurité ; mais, à cause de la mort, nous, les hommes, nous habitons tous une cité sans murailles.",épicure,
"À l'encontre des Cassandre qui annoncent la fin de la croissance, l'économie mondiale se situe à la veille d'un cycle comparable à la Renaissance.",Luc Ferry,
"A l'instant où l'esclave décide qu'il ne sera plus esclave, ses chaînes tombent.",Gandhi,
"A la cour, mon fils, l'art le plus nécessaire N'est pas de bien parler, mais de savoir se taire.",Voltaire,
"À la place de l'ancienne société bourgeoise, avec ses classes et ses antagonismes de classe, surgit une association où le libre développement de chacun est la condition du libre développement pour tous.",Karl Marx,
"A lutter avec les mêmes armes que ton ennemi, tu deviendras comme lui.",Friedrich Nietzsche,
"A mesure qu'on a plus d'esprit, on trouve qu'il y a plus d'hommes originaux. Les gens du commun ne trouvent pas de différence entre les hommes.",Blaise Pascal,
"A mesure que l'on distingue plus de choses dans une langue par la raison, il devient plus difficile de la parler.",Georg Christoph Lichtenberg,
